Word,Score
that,3
own,3
through,3
these,3
during,3
there,3
on,3
have,3
he,3
herself,3
him,3
himself,3
or,3
between,3
for,3
were,3
should,3
the,3
now,3
all,3
she,3
each,3
has,3
ours,3
those,3
into,3
under,3
can,3
same,3
while,3
from,3
itself,3
if,3
them,3
in,3
his,3
nor,3
yours,3
had,3
this,3
their,3
then,3
with,3
does,3
am,3
up,3
you,3
doing,3
after,3
themselves,3
not,3
went,3
my,3
our,3
having,3
they,3
her,3
against,3
but,3
than,3
other,3
is,3
further,3
ourselves,3
been,3
above,3
ain't,3
and,3
by,3
as,3
no,3
before,3
some,3
being,3
out,3
will,3
of,3
are,3
we,3
hers,3
an,3
did,3
it,3
i,3
theirs,3
was,3
again,3
because,3
both,3
off,3
until,3
such,3
do,3
at,3
to,3
here,3
any,3
so,3
only,3
down,3
a,3
let,3.54
us,3.311111111111112
try,3.616666666666667
something,3.3
go,3.481818181818182
sleep,3.686666666666667
today,3.1777777777777776
june,4.2
muiriels,4.2
birthday,3.95
muiriel,4.4
password,4.25
be,3.6793814432989707
back,3.872727272727273
soon,3.75
loss,3.3666666666666667
words,3.56
never,3.566666666666668
going,3.496428571428571
end,3.0250000000000004
just,3.435000000000001
know,3.119148936170214
what,3.2860759493670897
say,2.943749999999999
evil,4.2
bunny,4.2
mountains,4.6
recent,3.1
picture,3.15
time,3.547222222222222
education,3.9749999999999996
world,3.786363636363636
disappoints,4.5
me,3.5874999999999995
better,4.05952380952381
shape,3.9666666666666672
way,4.041176470588235
may,3.0124999999999997
give,3.4200000000000004
nap,2.2
instead,2.1666666666666665
want,3.522222222222223
alone,4.24
happen,4.116666666666667
sometimes,2.65
strange,3.4
guy,3.4
best,4.161538461538461
disturb,2.7
your,3.9527027027027013
studying,2.95
wonder,3.133333333333333
everyone,3.8000000000000003
else,3.5714285714285707
suppose,2.45
different,3.5666666666666664
when,3.5458333333333325
think,3.471874999999998
about,3.355813953488372
over,3.608333333333333
long,3.3785714285714286
term,2.6
miss,3.45
call,3.7571428571428567
tomorrow,4.050000000000001
come,3.8227272727272736
always,3.6652173913043478
liked,4.125
mysterious,4.2
characters,4.8
more,3.6719999999999997
told,3.8384615384615377
send,4.075
another,3.65
ticket,4.1
impatient,4.5
cannot,3.410810810810812
live,3.9928571428571433
kind,2.4
life,3.547727272727272
once,3.55
wanted,3.585714285714286
astrophysicist,3.6
biology,4.2
last,3.35
person,4.038461538461537
idea,3.7600000000000002
thought,2.716666666666667
nuts,3.9
could,2.9333333333333322
trust,3.5250000000000004
anyone,3.0571428571428574
unfortunately,2.6
true,3.25
too,3.488888888888889
busy,3.766666666666666
fighting,4.2
care,3.6222222222222222
common,4.2
ideals,3.4
most,3.953333333333333
people,3.6931818181818183
crazy,3.6799999999999997
line,4.3
kicking,4.9
sure,3.5
problem,3.5142857142857147
oh,2.766666666666667
butterfly,3.5
hurry,3.5
surprise,3.3666666666666667
reason,3.9
feel,3.5444444444444447
alive,3.233333333333334
night,3.4899999999999998
depends,3.3
context,4.4
freaking,4.3
kidding,4.3
stupidest,1.6
thing,3.7875
ever,2.5375
said,3.5727272727272736
lame,4.1
cool,4.1
grow,4.2
king,3.6750000000000003
america,4.6
lovely,4.6
place,3.483333333333334
earn,4.6
money,3.842857142857144
fat,3.0500000000000003
shoot,5.0
real,3.616666666666666
fish,4.45
mere,3.9
plushy,3.9
saying,2.6399999999999997
probably,3.2000000000000006
influenced,3.0500000000000003
decision,3.6999999999999997
wondered,3.0
would,3.24920634920635
like,3.702083333333334
siblings,2.7
take,3.880882352941178
forever,4.75
explain,2.9166666666666665
everything,3.5461538461538455
girl,3.925
help,2.675
showing,2.3
emotions,2.3
word,3.725
find,3.6333333333333333
substitute,2.8
program,3.3
intend,4.8
selfish,3.6999999999999997
consider,4.033333333333334
worst,3.242857142857143
how,3.0025000000000004
many,3.1062500000000006
close,3.466666666666667
friends,3.385714285714286
antisocial,1.6
mean,3.2555555555555555
talk,3.233333333333333
impolite,4.3
one,3.753125
unhappy,4.3
kill,4.2
myself,3.2285714285714286
high,3.8000000000000003
school,3.7999999999999994
got,3.7636363636363637
every,3.6357142857142852
morning,3.5124999999999997
woke,3.1999999999999997
sad,2.966666666666667
somewhat,2.8
explained,2.0
learn,4.111538461538462
new,3.607142857142858
things,3.380000000000001
write,3.575
daily,4.1
marshmallow,3.8
trang,3.275
order,4.0600000000000005
risks,4.6
who,3.8150943396226413
afraid,2.5333333333333337
others,4.74
why,2.5000000000000004
ask,3.4076923076923076
artist,1.9
knack,1.9
tell,3.6142857142857148
simple,3.966666666666667
anymore,3.5124999999999997
flawed,4.2
flaws,4.2
easily,3.95
fixed,4.1
whenever,2.766666666666667
expensive,2.95
stay,3.53
maybe,2.7
exactly,2.1
innocence,4.95
beautiful,4.418181818181818
humans,3.75
meant,5.0
lose,3.5833333333333326
ideas,3.1399999999999997
even,3.5699999999999994
though,3.336363636363636
bit,4.25
extreme,4.3
theory,3.0000000000000004
intriguing,4.3
intentionally,3.266666666666667
hide,2.6
good,3.404166666666667
looks,3.3666666666666667
account,4.866666666666667
forums,5.0
point,3.6199999999999997
story,3.62
really,3.64
where,2.5235294117647062
came,3.675
living,3.4
important,3.8166666666666664
asking,3.425
possible,3.1666666666666665
running,3.5666666666666664
away,3.3714285714285714
lifes,4.7
problems,4.25
look,4.152941176470588
lyrics,4.7
much,3.464285714285715
see,3.6333333333333337
physics,4.8
teacher,4.3
skip,4.8
classes,4.05
wish,3.18
japan,3.3
hate,4.32
lot,3.75
bed,4.0
left,3.811111111111111
realized,4.1
forgot,4.0
backpack,4.1
house,3.2999999999999994
anything,3.8066666666666666
freeze,2.5
next,3.9200000000000004
week,3.0500000000000003
apologized,4.0
still,3.11875
furious,4.0
police,4.25
get,3.642307692307693
bullets,4.7
thanks,3.2
idiot,1.2
intention,4.3
explanation,3.5
theoretically,2.9
math,4.1000000000000005
simply,3.25
almost,4.066666666666666
scared,2.9
online,3.9
whole,3.9000000000000004
day,3.4272727272727277
computer,3.4799999999999995
useful,4.05
freedom,4.0
uh,1.4
weird,3.0
scare,4.2
dreamt,3.9
few,3.0
weeks,4.2
ago,4.35
expect,4.466666666666667
schools,4.699999999999999
understand,3.4454545454545458
mathematicians,4.466666666666667
express,4.8
explicitly,4.8
stupid,4.333333333333333
need,3.416666666666666
silly,2.1
question,2.5
demonstrate,4.0
since,4.1000000000000005
obvious,4.566666666666666
someday,2.4750000000000005
viagra,3.7
wikipedia,3.7
phrased,3.4
found,2.78
solution,3.0999999999999996
fast,3.5999999999999996
right,3.6399999999999997
seems,3.1399999999999997
interesting,3.5833333333333335
except,4.05
candlelight,4.7
answer,3.65
boyfriend,4.8
bad,3.0999999999999996
weight,2.4
class,3.457142857142857
play,2.4
sudoku,1.3
continuing,1.3
bother,1.3
wait,3.814285714285714
love,3.628571428571429
curious,4.05
congratulations,5.0
visit,2.7
possibility,2.95
unlikely,3.4
logged,4.9
inevitable,3.6
france,3.75
chemistry,5.0
guess,2.6999999999999997
happens,3.4
papers,4.25
options,2.5
traveller,3.6
nothing,3.6076923076923078
either,3.0500000000000003
strengths,5.0
weaknesses,5.0
seriously,4.466666666666667
episode,4.7
made,3.5090909090909097
cry,4.233333333333334
laughing,4.7
shows,4.1
robot,4.4
robots,4.7
dream,4.733333333333333
underestimate,5.0
power,4.066666666666666
mom,4.3
speak,3.6625
english,3.9
very,4.190909090909091
well,4.033333333333334
french,3.18
enough,3.133333333333334
wondering,2.8
show,3.9499999999999993
therein,4.1
lies,4.1
food,3.125
outer,2.5
space,2.5
wants,3.633333333333333
meet,4.4
famous,3.6500000000000004
sorry,2.9166666666666665
done,3.5583333333333336
utterly,4.3
despise,4.3
formal,4.3
writing,4.05
foreign,4.75
intrigue,5.0
whatever,4.366666666666667
says,3.65
keeps,3.15
late,3.8571428571428568
surprised,4.066666666666666
travel,2.8666666666666667
hard,3.94
harder,4.45
bearing,4.6
unbearable,4.6
stop,3.9
making,4.183333333333333
uncomfortable,4.9
truth,3.975000000000001
land,4.15
moon,3.3
japanese,3.5500000000000003
pun,5.0
nobody,3.4250000000000003
understands,1.4
learned,3.5
without,3.2588235294117647
useless,1.9500000000000002
keep,3.533333333333333
thinking,3.1
mind,3.1999999999999997
days,3.225
check,3.2249999999999996
email,2.6
behind,2.3
priorities,4.6
use,3.1624999999999996
pretending,1.9
make,3.4708333333333337
believe,2.7846153846153845
work,3.966666666666667
dumb,1.0
trying,3.2375
seeing,3.5
normal,3.8
referring,2.7
eternity,2.3
grades,2.2
certain,2.2
decided,2.8
rolling,4.4
stone,4.25
gathers,4.9
moss,4.9
proverb,4.9
drink,3.25
mother,3.7600000000000002
matter,3.5
cave,3.1
must,4.567857142857142
together,4.633333333333334
brothers,4.8
perish,4.8
fools,4.2
working,3.1999999999999997
heights,2.1
looking,4.55
pretty,3.066666666666667
communication,3.5999999999999996
complex,2.6
phone,3.3249999999999997
ringing,5.0
nice,4.4
thank,3.575
helping,4.5
run,4.6
wind,4.433333333333334
likes,4.3
music,4.1
please,2.9315789473684206
happiness,2.875
awaiting,2.3
sort,2.3
decide,2.85
whether,3.2400000000000007
begin,4.800000000000001
eightthirty,4.9
boat,2.35
far,3.0
playing,4.033333333333333
cards,4.3
met,3.5
somewhere,3.7
allen,5.0
poet,5.0
archer,5.0
killed,5.0
deer,5.0
communism,5.0
reached,5.0
lifetime,5.0
rye,4.7
called,2.95
grain,4.7
poverty,4.3
s,4.3
finns,4.3
cited,4.3
least,3.85
healthy,4.3
diets,4.3
mistake,3.1
correct,2.6
deck,4.5
oaken,4.5
table,4.5
germans,4.05
crafty,4.7
eat,3.7666666666666666
die,4.7
spell,2.1
home,3.3199999999999994
ten,3.9499999999999993
years,3.4124999999999996
million,4.4
lost,3.933333333333333
lives,3.5250000000000004
war,3.6249999999999996
rare,4.4
ninety,4.4
first,4.14
outline,4.8
website,4.8
democracy,4.7
form,3.675
government,3.8999999999999995
tried,3.3666666666666667
beginning,3.6
photo,4.7
passport,4.7
holiday,4.7
commissioner,4.9
white,2.4
pants,2.4
around,3.5250000000000004
naturally,4.2
became,4.2
nervous,3.85
train,4.3
station,4.233333333333333
saw,4.95
man,3.663636363636364
angel,5.0
madrid,5.0
quite,2.9166666666666665
lucky,3.9
bite,4.2
eggs,2.5
round,4.1
trip,3.5
oneway,4.1
pity,3.7
somebody,3.1666666666666665
dies,3.9
speechless,4.2
damn,4.3
pull,4.6
washing,4.6
wash,3.9333333333333336
wearing,3.95
open,4.333333333333333
stops,4.8
glass,4.9
houses,4.9
throw,4.9
stones,4.9
blind,3.05
complicated,4.3
answers,4.9
raise,4.550000000000001
questions,4.050000000000001
doubts,4.7
oneself,4.7
sign,3.6
intelligence,3.766666666666667
poor,3.9000000000000004
little,3.414285714285714
known,3.8600000000000003
souvenir,3.6
united,3.3333333333333335
states,3.3333333333333335
excuse,3.4
allow,3.4
three,4.1
errors,3.4
article,3.5999999999999996
difficult,3.6749999999999994
conversation,4.6
someone,3.9999999999999996
yes,3.875
italian,2.75
noise,3.9
stared,4.2
typewriter,4.0
hamlet,3.8
written,3.2999999999999994
inquired,2.4
master,2.2
impossible,3.066666666666667
spend,3.34
rest,3.814285714285714
regretting,2.3
fun,3.4499999999999993
change,3.08
guessed,1.9
imagination,4.3
affects,4.3
aspect,4.3
forget,3.2250000000000005
rather,4.1
unexpected,3.4
tv,2.766666666666667
achieved,4.2
effort,3.6000000000000005
drift,4.4
purpose,4.1
totally,3.5666666666666664
pointless,1.9
changes,3.633333333333333
exams,3.45
ruining,3.4
condom,3.3
tells,4.5
walk,4.95
minutes,3.4333333333333336
took,3.7
two,3.877777777777778
hours,3.216666666666667
translate,3.3499999999999996
pages,2.4
already,3.3200000000000003
eleven,4.6
ms,3.0
brown,2.6
orange,3.5500000000000003
juice,2.8333333333333335
mike,3.7
ah,4.25
interjection,4.3
mandatory,3.4
character,3.4
schooling,3.4
rarely,3.8499999999999996
analyzed,3.4
multitude,3.4
works,3.4
dedicated,3.4
study,3.975
various,3.4
ways,3.4
develop,3.05
within,3.6333333333333333
children,4.066666666666666
desire,3.4
suck,3.6
dude,3.6
bone,4.449999999999999
pick,4.35
paris,4.2
city,4.5
hey,4.65
pride,4.7
friend,4.3
rachel,4.3
cost,4.8
increased,4.8
drastically,4.8
which,3.1642857142857146
invented,4.8
universe,4.066666666666666
infinite,3.4
perfect,3.4
lacked,3.4
defect,3.4
yet,4.4
contrary,4.4
den,4.6
crazies,4.6
opened,4.55
eyes,3.85
side,4.133333333333333
everythings,4.3
fine,4.1
name,4.2
jack,5.0
meeting,4.8
shopping,4.1
hour,4.0
mine,4.8
dance,3.3249999999999997
italy,4.4
country,3.9
fault,5.0
dial,2.6
telephone,3.3499999999999996
youth,2.8
hostel,2.8
near,3.1999999999999997
showers,2.8
mouth,4.7
wallet,4.9
wasted,4.2
plans,4.2
wanting,4.6
sexy,5.0
pass,4.175
salt,3.2
bored,2.1
eating,3.84
chocolate,3.6500000000000004
yourself,3.995000000000001
appetite,4.3
hit,3.8499999999999996
disneyland,4.0
family,3.3200000000000003
parents,3.4499999999999997
arguing,4.6
annoying,3.0749999999999997
put,2.9333333333333336
sunscreen,4.4
complaining,4.300000000000001
sunburn,4.4
calm,2.0
spiders,3.9
freak,3.9
cleaning,3.9
headache,2.95
hot,4.2
cook,4.8
egg,4.8
hood,4.8
car,4.32
red,2.8499999999999996
fridge,4.85
hated,4.8
loved,4.8
lonely,3.7
saddle,3.7
horse,3.7
died,3.45
mathematics,3.675
part,4.15
science,3.733333333333333
continue,4.1
discovered,4.1
gone,3.0999999999999996
ocean,4.0
dreams,3.5749999999999997
reflected,4.0
phrase,4.3
reap,4.3
sow,4.3
sown,4.3
storm,4.3
women,3.1666666666666665
gave,2.8333333333333335
speech,3.7749999999999995
type,3.733333333333333
tired,3.6533333333333333
slowly,2.6
arrive,3.85
admit,3.85
snore,2.7
tonight,4.333333333333333
church,3.9666666666666663
faking,5.0
snoring,5.0
shoes,4.9
small,3.9333333333333336
ones,3.4333333333333336
getting,3.65
cops,4.8
coming,3.28
merry,3.9
christmas,3.9
languages,4.3
listened,4.2
complete,4.3
mess,4.0
nerves,4.3
body,4.5
touched,4.5
receptors,4.5
skin,4.5
messages,4.5
brain,3.4000000000000004
causing,4.5
release,4.5
chemicals,4.5
endorphins,4.5
involve,2.9
hundred,4.7
fifty,4.7
thousand,4.7
couples,4.7
expected,4.85
married,4.85
shanghai,4.7
selected,4.9
face,4.071428571428571
extensive,4.9
medical,4.9
psychological,4.9
tests,4.9
half,3.12
malnutrition,4.6
niger,4.6
five,2.633333333333333
technology,2.9666666666666663
ready,2.6249999999999996
bicycles,4.8
tools,4.8
urban,4.8
sustainability,4.8
launched,4.1
game,3.533333333333333
challenges,4.1
taxpayers,4.1
balance,4.1
national,4.1
budget,4.1
glad,4.3
hear,3.9199999999999995
prove,3.6500000000000004
computers,4.5
helps,3.9
information,4.9
scientific,4.35
breakthroughs,4.7
discovery,4.7
aware,4.8
its,4.3
past,4.8
changed,4.216666666666667
future,4.266666666666667
key,3.8
gain,2.6
misunderstood,5.0
understood,4.7
produce,4.7
able,3.375
full,3.3333333333333335
suffering,3.4000000000000004
despite,2.766666666666667
importance,3.85
mystery,3.8
educated,2.8
century,2.8
passion,4.2
creates,4.65
geneva,5.0
present,3.7
starving,4.3
antigua,2.7
cubic,5.0
meter,5.0
corresponds,5.0
liters,5.0
plays,4.7
piano,4.05
vegetables,2.9499999999999997
movies,3.2999999999999994
undressing,5.0
crashed,5.0
wall,5.0
visions,5.0
hi,4.25
dictionary,4.7
sentences,4.0
creationism,5.0
pseudoscience,5.0
calmed,4.8
propose,4.8
democrat,4.8
free,3.9
citizen,4.8
yields,4.8
majority,4.8
searches,4.3
finds,4.3
rome,4.8
built,4.8
silence,5.0
gives,4.1
consent,5.0
finished,2.7
wine,4.3
poetry,4.3
bottles,3.625
german,2.3
great,3.5999999999999996
objective,4.7
means,4.85
telling,3.0499999999999994
everybody,4.7
whose,3.4666666666666663
pope,4.25
greater,4.9
sum,3.95
parts,4.9
mathematical,4.8
neither,4.8
poets,4.3
fantasy,4.3
language,3.7999999999999994
turn,4.033333333333333
expert,4.9
knows,4.9
mistakes,4.05
field,3.95
avoid,4.9
socially,4.9
acceptable,4.9
masturbate,4.9
public,3.8500000000000005
types,4.5
binary,4.5
therefore,3.7
nowadays,4.3
decisions,4.3
worry,4.9
happy,3.2
learning,3.533333333333333
irregular,4.1
verbs,4.1
book,3.7199999999999998
read,4.057142857142857
smile,4.7
designed,4.6
transform,4.6
society,4.6
reproduce,4.6
beside,3.6
joy,4.1
vacation,3.5333333333333337
fall,1.2999999999999998
evening,3.3
dress,3.9
desired,3.9
absolute,5.0
cold,3.733333333333333
thirsty,3.5
regret,3.4
nearly,3.4
inch,3.9
yard,3.7
irresistible,4.1
later,3.25
talking,3.1
accept,4.25
condition,3.5
age,3.8600000000000003
six,3.8
hand,4.0
abandon,2.1
cut,4.36
nails,4.8
ironing,4.8
slept,4.1
sex,3.533333333333333
eaten,2.5
banana,2.0
pie,2.0
marry,3.7
woman,2.1
men,3.62
adopt,3.3
abortions,2.5
threeheaded,4.6
monkey,4.6
buy,3.485714285714286
miracles,3.5
potatoes,3.5
lasagna,4.0
unpleasant,3.9
dentist,4.35
example,3.9
eye,3.657142857142857
actually,3.4000000000000004
animal,3.1799999999999997
onehalf,3.0
dead,3.0
prime,4.0
numbers,3.8
completely,4.1
logical,4.0
rules,4.0
eyebrow,4.2
also,3.0
idiotic,4.2
machine,3.1500000000000004
schedule,3.3666666666666667
identity,3.6
card,3.2999999999999994
baby,3.1666666666666665
penguin,4.0
cute,4.0
hospital,4.25
struck,3.5
lightning,3.5
greatest,2.4
source,2.4
inspiration,1.9
whom,5.0
difference,2.6
practice,3.4
